Store Name,SKU,Product Name,Current Stock (DB),Calculated (History),Discrepancy
สาขา0000,SKU-889591-qbl6z,ผ้าม๊อบ 10 นิ้ว,2,600,-598
สาขา0000,SKU-889591-l9q7r,ผ้าขนหนู คละแบบ,1685,2000,-315
สาขา0000,SKU-889591-fve3d,ห่วงยางขาสอดแฟนซี คละแบบ,-60,0,-60
สาขา0000,SKU-889591-dix01,กางเกงขาสั้น แฟชั่น,-9,-10,1
สาขา0000,SKU-889591-kdrqm,ชุดเดรสสั้น,2,-2,4
สาขา0000,SKU-889591-1196c,กางเกงขาสั้น คละลาย (ลายช้าง/ลายต้นมะพร้าว),8,3,5
สาขา0000,SKU-889591-fg273,ปลอกแขนชูชีพ (M/L) ,0,-50,50
สาขา0000,SKU-889591-ugbf2,ชุดว่ายน้ำ คละแบบ,-1,-81,80
สาขา0000,SKU-889591-rgr8a,พลั่วตักทราย 733-312,0,-100,100
สาขา0000,SKU-889591-ebd3l,ของเล่นใต้น้ำ,0,-100,100
สาขา0000,SKU-889591-3mm9k,แว่นตาว่ายน้ำ คละแบบ,500,350,150
สาขา0000,SKU-889591-ew05l,ตีนกบ คละแบบ,-7,-207,200
สาขา0000,SKU-889591-p2sq3,สน๊อกเกิ้ลดำน้ำ 594,840,340,500
สาขา0000,SKU-889591-megh8,สน๊อกเกิ้ลดำน้ำ 658,-42,-642,600
สาขา0000,SKU-889591-8p64s,ผ้าชายหาดทอลาย คละแบบ,2749,1749,1000
สาขา0000,SKU-889591-4pn16,กระดานโต้คลื่น 26 นิ้ว,1632,432,1200
สาขา0000,SKU-889591-7rd2o,แว่นตาว่ายน้ำผู้ใหญ่ 8016,-177,-1677,1500
สาขา0000,SKU-889591-j1663,กระดานโต้คลื่น 17 นิ้ว,2759,839,1920
สาขา0000,SKU-889591-154go,แพยางเป่าลมแฟนซี คละแบบ,7117,5147,1970
สาขา0000,SKU-889591-59ypf,ห่วงยางเป่าลมแฟนซี คละแบบ,7201,5201,2000
สาขา0000,SKU-889591-0gt9j,กระดานโต้คลื่น 41 นิ้ว,3270,1098,2172
สาขา0000,SKU-889591-vt30v,สน๊อกเกิ้ลดำน้ำ 250,3192,892,2300
สาขา0000,SKU-889591-uok8p,กระดานโต้คลื่น 33 นิ้ว,3432,1032,2400
สาขา0000,SKU-889591-k7i2m,โฟมช่วยลอยน้ำพร้อมข้อต่อ 7 CM.,5954,1454,4500
สาขา0003,SKU-889591-0gt9j,กระดานโต้คลื่น 41 นิ้ว,-275,-227,-48
สาขา0003,SKU-889591-uok8p,กระดานโต้คลื่น 33 นิ้ว,-448,-424,-24
สาขา0003,SKU-889591-4jw4f,ปลอกแขนเด็กลอยน้ำ คละแบบ,-12,-13,1
สาขา0003,SKU-889591-fkf1o,เสื้อชูชีพ (M),-2,-3,1
สาขา0003,SKU-889591-w3cnw,แม๊กเน็ตติดตู้เย็น คละแบบ,-1,-2,1
สาขา0003,SKU-889591-6jmne,สูบลมมือ,0,-1,1
สาขา0003,SKU-889591-ywbdk,รองเท้าชายหาดเด็ก คละแบบ,-7,-8,1
สาขา0003,SKU-889591-6xszd,สูบลมไฟฟ้า,0,-1,1
สาขา0003,SKU-889591-dyvaj,กระป๋องตักทราย RX789-48,0,-1,1
สาขา0003,SKU-889591-ps4zo,กระดานโต้คลื่นเป่าลม คละแบบ,0,-1,1
สาขา0003,SKU-889591-5el1s,โครเชต์ครอป-บราถัก,-6,-7,1
สาขา0003,SKU-889591-iej5u,ร่มยาวทูโทน,0,-1,1
สาขา0003,SKU-601551-sk8fi,เสื้อแฟชั่นแขนกุด คละสี,0,-2,2
สาขา0003,SKU-889591-71uaw,กระเป๋ากันน้ำขนาด 30 ลิตร,-26,-28,2
สาขา0003,SKU-889591-5nmzl,เสื้อชูชีพ (S),-1,-4,3
สาขา0003,SKU-889591-9ddv5,เครื่องประดับ คละแบบ,-7,-10,3
สาขา0003,SKU-889591-krrqj,เบ็ดเตล็ด คละแบบ #1,-8,-11,3
สาขา0003,SKU-889591-mmudd,ชุดเดรสมัดย้อม,-6,-9,3
สาขา0003,SKU-889591-s5jjm,หมวกสาน คละแบบ,19,15,4
สาขา0003,SKU-601551-tbql5,หมวกแฟชั่น,-4,-8,4
สาขา0003,SKU-601551-da2df,กางเกงขาจั๊ม,-3,-7,4
สาขา0003,SKU-889591-odoft,เสื้อแขนยาว แฟชั่น,-5,-9,4
สาขา0003,SKU-889591-mmyjz,กระเป๋ากันน้ำขนาด 40 ลิตร,0,-4,4
สาขา0003,SKU-889591-r6pvj,เสื้อเชิ้ตแฟชั่น ผู้ชาย,-8,-13,5
สาขา0003,SKU-889591-nrkow,กระโปรงแฟชั่น คละสี,-8,-14,6
สาขา0003,SKU-889591-fve3d,ห่วงยางขาสอดแฟนซี คละแบบ,-7,-14,7
สาขา0003,SKU-601551-ckex9,ชุดเด็ก คละแบบ,-20,-27,7
สาขา0003,SKU-889591-jme1d,เสื้อแฟชั่น คละแบบ,-30,-40,10
สาขา0003,SKU-889591-mjv8d,กางเกงขายาว แฟชั่น,-11,-22,11
สาขา0003,SKU-889591-azjcd,โฟมช่วยลอยน้ำพร้อมข้อต่อ 6 CM.,-24,-36,12
สาขา0003,SKU-889591-bsv2m,รองเท้าชายหาด รุ่นสปอร์ท คละแบบ,-102,-114,12
สาขา0003,SKU-889591-m3c2l,กางเกงขาสั้น คละแบบ (ชาย),-14,-26,12
สาขา0003,SKU-889591-izgw7,รองเท้าแฟชั่น,-11,-24,13
สาขา0003,SKU-889591-wtdol,กระเป๋ากันน้ำขนาด 2 ลิตร,-44,-57,13
สาขา0003,SKU-889591-jwm1y,เสื้อ+กระโปรง แฟชั่น,-6,-19,13
สาขา0003,SKU-889591-rbkzp,เสื้อเชิ้ตฮาวาย คละแบบ,-4,-20,16
สาขา0003,SKU-601551-rgz2e,ชุดเดรสยาวแฟชั่น,101,84,17
สาขา0003,SKU-889591-j1663,กระดานโต้คลื่น 17 นิ้ว,-531,-551,20
สาขา0003,SKU-889591-cnr64,ชุดเดรสแฟชั่น คละแบบ,-26,-47,21
สาขา0003,SKU-889591-dix01,กางเกงขาสั้น แฟชั่น,-32,-53,21
สาขา0003,SKU-889591-tii1w,ฟุตบอล,-48,-69,21
สาขา0003,SKU-601551-ky6xc,เสื้อลายช้าง,0,-23,23
สาขา0003,SKU-889591-kdrqm,ชุดเดรสสั้น,-4,-27,23
สาขา0003,SKU-889591-ugbf2,ชุดว่ายน้ำ คละแบบ,79,55,24
สาขา0003,SKU-889591-s1w38,ลูกบอลเป่าลม คละแบบ,0,-24,24
สาขา0003,SKU-889591-4rhmr,กางเกงขาสั้น คละแบบ (หญิง),-2,-26,24
สาขา0003,SKU-889591-xgfee,กระโปรงแฟชั่น คละแบบ,-8,-34,26
สาขา0003,SKU-889591-6bsgk,ชุดเดรสยาว คละสี,-34,-70,36
สาขา0003,SKU-889591-yy000,กระเป๋ากันน้ำขนาด 1.5 ลิตร,-31,-68,37
สาขา0003,SKU-889591-l9q7r,ผ้าขนหนู คละแบบ,-15,-53,38
สาขา0003,SKU-889591-2fp6y,ไม้บีชบอล,0,-38,38
สาขา0003,SKU-889591-tfosx,ของเล่น คละแบบ,174,117,57
สาขา0003,SKU-889591-pzgzs,สน๊อกเกิ้ลดำน้ำผู้ใหญ่ คละแบบ,-64,-131,67
สาขา0003,SKU-889591-f7q01,ที่อุดหู อุดจมูก,0,-72,72
สาขา0003,SKU-889591-ebd3l,ของเล่นใต้น้ำ,178,88,90
สาขา0003,SKU-889591-9h7yn,สน๊อกเกิ้ลดำน้ำเด็ก คละแบบ,-79,-177,98
สาขา0003,SKU-889591-3mm9k,แว่นตาว่ายน้ำ คละแบบ,48,-60,108
สาขา0003,SKU-889591-bytqs,ซองกันน้ำ คละแบบ,-102,-234,132
สาขา0003,SKU-889591-ew05l,ตีนกบ คละแบบ,86,-77,163
สาขา0003,SKU-889591-8p64s,ผ้าชายหาดทอลาย คละแบบ,740,561,179
สาขา0003,SKU-889591-f1nt4,กระเป๋ากันน้ำขนาด 20 ลิตร,-166,-345,179
สาขา0003,SKU-889591-4pn16,กระดานโต้คลื่น 26 นิ้ว,-621,-803,182
สาขา0003,SKU-889591-dhpob,รองเท้าชายหาดผู้ใหญ่ คละแบบ,-85,-300,215
สาขา0003,SKU-889591-4c7k5,ห่วงยางเป่าลมเด็กแฟนซี คละแบบ,-246,-488,242
สาขา0003,SKU-889591-3n0y7,สน๊อกเกิ้ลดำน้ำ 595,-60,-315,255
สาขา0003,SKU-889591-osay9,แว่นตาว่ายน้ำเด็ก 5031,-128,-409,281
สาขา0003,SKU-889591-megh8,สน๊อกเกิ้ลดำน้ำ 658,83,-203,286
สาขา0003,SKU-889591-5myie,กระเป๋ากันน้ำขนาด 25 ลิตร,-179,-470,291
สาขา0003,SKU-889591-4ajwv,กระเป๋ากันน้ำขนาด 15 ลิตร,-285,-592,307
สาขา0003,SKU-889591-p2sq3,สน๊อกเกิ้ลดำน้ำ 594,500,113,387
สาขา0003,SKU-889591-k7i2m,โฟมช่วยลอยน้ำพร้อมข้อต่อ 7 CM.,-1926,-2341,415
สาขา0003,SKU-889591-r4v6a,กระเป๋ากันน้ำขนาด 3 ลิตร,-304,-757,453
สาขา0003,SKU-889591-ugf30,จานร่อน,-547,-1024,477
สาขา0003,SKU-889591-loap6,กระเป๋ากันน้ำขนาด 5 ลิตร,-311,-789,478
สาขา0003,SKU-889591-ovxot,กระเป๋ากันน้ำขนาด 10 ลิตร,-280,-772,492
สาขา0003,SKU-889591-154go,แพยางเป่าลมแฟนซี คละแบบ,1092,544,548
สาขา0003,SKU-889591-59ypf,ห่วงยางเป่าลมแฟนซี คละแบบ,1095,524,571
สาขา0003,SKU-601551-mt6ah,แว่นตาว่ายน้ำ PVC คละแบบ,-251,-860,609
สาขา0003,SKU-889591-kxqqg,แว่นตาว่ายน้ำผู้ใหญ่ 8025-UV,-339,-1056,717
สาขา0003,SKU-889591-3oa5n,แว่นตาว่ายน้ำผู้ใหญ่ 8016-UV,-353,-1080,727
สาขา0003,SKU-889591-to2e5,หน้ากากดำน้ำ คละแบบ,-639,-1462,823
สาขา0003,SKU-889591-7rd2o,แว่นตาว่ายน้ำผู้ใหญ่ 8016,1158,110,1048
สาขา0003,SKU-889591-vt30v,สน๊อกเกิ้ลดำน้ำ 250,1744,15,1729
